Ontology ID,definition,definition cross reference,term tracker item,created by
ID,A IAO:0000115,AI oboInOwl:hasDbXref SPLIT=\|,A IAO:0000233,AI dc:creator SPLIT=\|
ECSO:00001559,A water temperature which inheres in water of an estuary.,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/WR007i005p01173,https://github.com/clnsmth/sem-prov-ontologies/issues/3,https://orcid.org/0000-0003-2261-9931
