Ontology ID,label,parent class,definition,definition cross reference,comment,exact synonym,broad synonym,narrow synonym,related synonym,cross reference,subclass axiom,term tracker item,creation date,created by
ID,A rdfs:label,SC %,A IAO:0000115,AI oboInOwl:hasDbXref SPLIT=\|,A rdfs:comment,AL oboInOwl:hasExactSynonym@en SPLIT=\|,AL oboInOwl:hasBroadSynonym@en SPLIT=\|,AL oboInOwl:hasNarrowSynonym@en SPLIT=\|,AL oboInOwl:hasRelatedSynonym@en SPLIT=\|,AI oboInOwl:hasDbXref SPLIT=\|,SC %,A IAO:0000233,A dc:date,A dc:creator SPLIT=\|
"ECSO:00010137","sap flux density","ECSO:00000514","A flux_measurementtype which measures the volume or mass of sap passing through a given cross-sectional area of xylem tissue per unit time.","https://en.wikipedia.org/wiki/Sap","","sap flow velocity|sap velocity","","","","","","https://github.com/clnsmth/sem-prov-ontologies/issues/1","2026-09-08T15:00:00Z","https://orcid.org/0000-0003-2261-9931"
