Ontology ID,exact synonym,cross reference,created by
ID,A oboInOwl:hasExactSynonym SPLIT=\|,AI oboInOwl:hasDbXref SPLIT=\|,AI dc:creator SPLIT=\|
ECSO:00001125,dissolved organic carbon,CHEBI:16973,https://orcid.org/0000-0003-2261-9931
